'2026-07-20 11:19:36,524 | INFO | {'order_id': 'O00826', 'customer_id': 'C0001', 'product_id': 'P0043', 'quantity': 3, 'amount': 1050.66, 'currency': 'INR', 'order_date': '16/04/2026', 'table_name': 'orders', 'row_number': 147, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,525 | INFO | {'order_id': 'O00516', 'customer_id': 'C0009', 'product_id': 'P0007', 'quantity': 1, 'amount': 55.44, 'currency': 'EUR', 'order_date': '04-27-2026', 'table_name': 'orders', 'row_number': 153, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,525 | INFO | {'order_id': 'O00229', 'customer_id': 'C0057', 'product_id': 'P0006', 'quantity': 3, 'amount': 894.27, 'currency': 'USD', 'order_date': '01-17-2026', 'table_name': 'orders', 'row_number': 206, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,525 | INFO | {'order_id': 'O00684', 'customer_id': 'C0060', 'product_id': 'P0005', 'quantity': -2, 'amount': 0.0, 'currency': 'GBP', 'order_date': '30/01/2026', 'table_name': 'orders', 'row_number': 286, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,525 | INFO | {'order_id': 'O00431', 'customer_id': 'C0114', 'product_id': 'P0002', 'quantity': 5, 'amount': 1950.05, 'currency': 'USD', 'order_date': '16/01/2026', 'table_name': 'orders', 'row_number': 460, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,526 | INFO | {'order_id': 'O00796', 'customer_id': 'C0014', 'product_id': 'P0055', 'quantity': 2, 'amount': 312.32, 'currency': 'GBP', 'order_date': '04-03-2026', 'table_name': 'orders', 'row_number': 528, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,526 | INFO | {'order_id': 'O00455', 'customer_id': 'C0081', 'product_id': 'P0006', 'quantity': 4, 'amount': 1192.36, 'currency': 'USD', 'order_date': '01-15-2026', 'table_name': 'orders', 'row_number': 562, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,526 | INFO | {'order_id': 'O00466', 'customer_id': 'C0040', 'product_id': 'P0010', 'quantity': 1, 'amount': 39.13, 'currency': 'INR', 'order_date': '05-04-2026', 'table_name': 'orders', 'row_number': 569, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,526 | INFO | {'order_id': 'O00217', 'customer_id': 'C0087', 'product_id': 'P0012', 'quantity': 2, 'amount': 114.48, 'currency': 'GBP', 'order_date': '05-27-2026', 'table_name': 'orders', 'row_number': 600, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,526 | INFO | {'order_id': 'O00391', 'customer_id': 'C0080', 'product_id': 'P0021', 'quantity': 1, 'amount': nan, 'currency': 'INR', 'order_date': '06-08-2026', 'table_name': 'orders', 'row_number': 606, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,527 | INFO | {'order_id': 'O00565', 'customer_id': 'C0065', 'product_id': 'P0013', 'quantity': 5, 'amount': 1775.6, 'currency': 'GBP', 'order_date': '2026-02-11', 'table_name': 'orders', 'row_number': 706, 'reject_reason': 'duplicate order_id'} 
'2026-07-20 11:19:36,527 | INFO | {'order_id': 'O00118', 'customer_id': 'C0119', 'product_id': 'P0017', 'quantity': 4, 'amount': 658.16, 'currency': 'INR', 'order_date': '15/03/2026', 'table_name': 'orders', 'row_number': 721, 'reject_reason': 'duplicate order_id'} 
